,PATTERN,RECODING2,TOTAL_OCCURRENCES
191,j econ educ,ECONOMICS,196
192,ind relat,ECONOMICS,194
193,hdb expt ec,ECONOMICS,194
194,portfolio selection,FINANCE,193
195,hdb ind org,ECONOMICS,191
196,rational expectation,ECONOMICS,190
197,psychol bull,PSYCHOLOGY,189
198,in press j financial,FINANCE,188
199,z nationalokonomie,ECONOMICS,186
200,human capital,ECONOMICS,186
201,ctr ec pol res,ECONOMICS,186
202,studies income wealt,ECONOMICS,185
203,econometric methods,ECONOMICS,185
204,appl econ,ECONOMICS,185
205,fed res bank min,FINANCE,182
206,gen theory employmen,ECONOMICS,182
207,treatise family,ECONOMICS,181
208,theory monopolistic,ECONOMICS,181
209,f ec anal,ECONOMICS,181
210,nat bur ec res w,ECONOMICS,178
211,j conflict resolut,POLSCIENCE,176
212,nature,MULTIDISC,176
213,econ hist rev,ECONOMICS,176
214,market sci,BUSINESS,176
215,land econ,ECONOMICS,174
216,manchester sch,ECONOMICS,172
217,labour econ,ECONOMICS,172
218,popul dev rev,DEMOGRAPHY,171
219,fortune,MEDIA,170
220,j financ res,FINANCE,169
221,weltwirtsch arch,ECONOMICS,169
222,organ behav hum dec,PSYCHOLOGY,168
223,rep,DK,168
224,structural anal disc,DK,168
225,imf,FINANCE,167
226,ann probab,STATISTICS,166
227,j popul econ,ECONOMICS,165
228,theory games ec beha,ECONOMICS,164
229,game theory,ECONOMICS,164
230,j am statistical ass,STATISTICS,163
231,math financ,FINANCE,163
232,j futures markets,FINANCE,163
233,oxford ec papers,ECONOMICS,163
234,wealth nations,ECONOMICS,162
235,time series anal,ECONOMICS,162
236,res labor ec,ECONOMICS,162
237,b,DK,162
238,j am stat ass,STATISTICS,161
239,j money credit banki,ECONOMICS,160
240,j comp econ,ECONOMICS,160
241,j appl corporate fin,FINANCE,159
242,macroecon dyn,ECONOMICS,159
243,hdb math ec,ECONOMICS,157
244,unpublished paper,DK,157
245,imf staff papers,FINANCE,156
246,essays theory risk b,FINANCE,154
247,quart j economics,ECONOMICS,154
248,ec imperfect competi,ECONOMICS,154
249,econometric theory,ECONOMICS,153
250,unpublished manuscri,DK,153
251,european ec rev,ECONOMICS,152
252,j corp financ,FINANCE,151
253,new palgrave dict ec,ECONOMICS,151
254,treatise money,ECONOMICS,150
255,general competitive,ECONOMICS,150
256,thesis yale u,DK,150
257,exp econ,ECONOMICS,149
258,frontiers quantitati,DK,149
259,1,DK,149
260,in press j finance,FINANCE,148
261,nber conf r,ECONOMICS,148
262,swed j econ,ECONOMICS,147
263,ec rep pres,ECONOMICS,147
264,ann math,MATHEMATICS,146
265,j empir financ,FINANCE,146
266,in press am ec rev,ECONOMICS,146
267,intro probability th,STATISTICS,145
268,int labour rev,ECONOMICS,145
269,j roy stat soc a sta,STATISTICS,144
270,econ educ rev,ECONOMICS,144
271,markets hierarchies,BUSINESS,143
272,j marketing res,BUSINESS,143
273,thesis columbia u,DK,143
274,weltwirtschaftliches,ECONOMICS,142
275,rev ECONOMICSstatis,ECONOMICS,142
276,capitalism socialism,ECONOMICS,142
277,ann ec stat,ECONOMICS,142
278,math soc sci,MATHEMATICS,141
279,econ polit-oxford,ECONOMICS,141
280,theory public financ,FINANCE,140
281,manch sch econ soc,ECONOMICS,139
282,in press j ec theory,ECONOMICS,139
283,can j econ polit sci,MULTIDISC,138
284,ind market structure,BUSINESS,137
285,qje,ECONOMICS,136
286,ec welfare,ECONOMICS,136
287,essays positive ec,ECONOMICS,135
288,monopolistic competi,ECONOMICS,135
289,microeconomic f empl,ECONOMICS,134
290,j dev stud,ECONOMICS,134
291,econometrics,ECONOMICS,134
292,statistical methods,STATISTICS,133
293,math methods social,MATHEMATICS,133
294,econometric anal,ECONOMICS,133
295,mathematical methods,MATHEMATICS,131
296,macroeconomic theory,ECONOMICS,131
297,cowles commission mo,ECONOMICS,131
298,rate direction inven,DK,131
299,j risk insur,FINANCE,130
300,fed res bank,FINANCE,130
301,j farm ec,ECONOMICS,128
302,econometrica supplem,ECONOMICS,128
303,econ theory,ECONOMICS,128
304,health affair,HEALTH,127
305,behav sci,PSYCHOLOGY,127
306,hdb public ec,ECONOMICS,127
307,fiscal studies,ECONOMICS,126
308,manchester sch ec so,ECONOMICS,124
309,j inst theor econ,ECONOMICS,123
310,hdb labor ec a,ECONOMICS,123
311,am psychol,PSYCHOLOGY,122
312,j policy anal manag,POLSCIENCE,122
313,j time ser anal,ECONOMICS,122
314,general equilibrium,ECONOMICS,122
315,sch experience earni,ECONOMICS,121
316,ind labor relations,ECONOMICS,121
317,games decisions,ECONOMICS,121
318,thesis princeton u,DK,121
319,ec information uncer,ECONOMICS,120
320,ec i capitalism,ECONOMICS,120
321,business cycles,ECONOMICS,120
322,principles econometr,ECONOMICS,119
323,in press rev ec stud,ECONOMICS,119
324,adv theory statistic,STATISTICS,118
325,j polit,POLSCIENCE,118
326,linear programming e,MATHEMATICS,118
327,tax policy ec,ECONOMICS,118
328,harv i ec res di,ECONOMICS,118
329,pch1,DK,118
330,t am math soc,MATHEMATICS,117
331,j fixed income,FINANCE,117
332,world econ,ECONOMICS,117
333,in press q j ec,ECONOMICS,117
334,res policy,BUSINESS,117
335,contributions theory,DK,117
336,stanford law rev,LAW,116
337,term structure inter,FINANCE,116
338,j financ mark,FINANCE,116
339,imr-ind manag rev,FINANCE,116
340,hist stat us col tim,STATISTICAL DATA,116
341,hdb macroeconomics,ECONOMICS,116
342,scot j polit econ,ECONOMICS,115
343,innovation growth gl,ECONOMICS,115
344,dynamic ec,ECONOMICS,115
345,j exp psychol,PSYCHOLOGY,114
346,brit j ind relat,POLSCIENCE,114
347,yale econ essays,ECONOMICS,114
348,theory interest rate,ECONOMICS,114
349,european j political,ECONOMICS,114
350,biometrics,NATURAL SCIENCES,114
351,pch3,DK,114
352,j r stat soc ser a-g,STATISTICS,113
353,risk uncertainty pro,FINANCE,113
354,income saving theory,ECONOMICS,113
355,collective choice so,ECONOMICS,113
356,survey curr bus,STATISTICAL DATA,113
357,pch2,DK,113
358,u chicago law rev,LAW,112
359,ec growth,ECONOMICS,112
360,can j economics,ECONOMICS,112
361,models monetary ec,ECONOMICS,111
362,frontiers econometri,ECONOMICS,111
363,am econ j-macroecon,ECONOMICS,111
364,management sci,BUSINESS,111
365,thesis u pennsylvani,DK,111
366,ann am acad polit ss,POLSCIENCE,110
367,theory int trade,ECONOMICS,110
368,recursive methods ec,ECONOMICS,110
369,econometrica s,ECONOMICS,110
370,dynamic programming,ECONOMICS,110
371,public interest,POLSCIENCE,109
372,j jpn int econ,POLSCIENCE,109
373,am math mon,MATHEMATICS,109
374,in press j political,ECONOMICS,109
375,lancet,HEALTH,108
376,stanf u i math s,MATHEMATICS,108
377,j financial intermed,FINANCE,108
378,value capital growth,ECONOMICS,108
379,microeconomic theory,ECONOMICS,108
380,j regional sci,URBAN STUDIES,107
381,columbia law rev,LAW,107
382,activity anal produc,DK,107
383,int mon fund,FINANCE,106
384,cowl f disc pap,ECONOMICS,106
385,monetary hist us 186,ECONOMICS,105
386,equilibrium unemploy,ECONOMICS,105
387,strategy conflict,POLSCIENCE,104
388,j econ psychol,ECONOMICS,104
389,in press j econometr,ECONOMICS,104
390,z wahrscheinlichkeit,STATISTICS,103
391,int monetary fund st,FINANCE,103
392,econometric,ECONOMICS,103
393,j marketing,BUSINESS,103
394,brit med j,HEALTH,102
395,national tax j,LAW,102
396,ec discrimination,ECONOMICS,102
397,technometrics,STATISTICS,101
398,psychol sci,PSYCHOLOGY,101
399,aspects theory risk,FINANCE,101
400,convergence probabil,STATISTICS,100
401,world dev rep,ECONOMICS,100
402,theory ind org,ECONOMICS,100
403,macroeconomics,ECONOMICS,100
404,f statistics,STATISTICS,99
405,political sci q,POLSCIENCE,99
406,econometric anal cro,ECONOMICS,99
407,capital,ECONOMICS,99
408,pop stud-j demog,DEMOGRAPHY,99
409,theory justice,PHILOSOPHY,98
410,productivity trends,ECONOMICS,98
411,nat bur ec res oc,ECONOMICS,98
412,logic collective act,ECONOMICS,98
413,hdb dev ec,ECONOMICS,98
414,pch4,DK,98
415,modern corporation p,LAW,97
416,princ u ind rel,ECONOMICS,97
417,lloyds bank rev,ECONOMICS,97
418,linear statistical i,ECONOMICS,97
419,monthly rev,DK,97
420,j financial markets,FINANCE,96
421,impacts monetary pol,ECONOMICS,96
422,canadian j ec,ECONOMICS,96
423,am j public health,HEALTH,95
424,economic development,ECONOMICS,95
425,ec theory democracy,ECONOMICS,95
426,am business cycle co,ECONOMICS,95
427,urban stud,URBAN STUDIES,94
428,convex anal,MATHEMATICS,94
429,random character sto,FINANCE,94
430,production ec dual a,ECONOMICS,94
431,core equilibria larg,ECONOMICS,94
432,stabilization polici,DK,94
433,in press rev financi,FINANCE,93
434,financial management,FINANCE,93
435,ltd dependent qualit,ECONOMICS,93
436,lond sch ec ctr,ECONOMICS,93
437,fdn ec anal,ECONOMICS,93
438,nber macroecon annu,ECONOMICS,92
439,r d patents producti,DK,92
440,optimum quantity mon,ECONOMICS,91
441,barriers new competi,ECONOMICS,91
442,am ec rev in press,ECONOMICS,91
443,b am math soc,MATHEMATICS,90
444,investment decision,FINANCE,90
445,res expt ec,ECONOMICS,90
446,frontiers business c,ECONOMICS,90
447,cens man,DK,90
448,admin sci quart,POLSCIENCE,89
449,foreign aff,MEDIA,89
450,game theoretic model,MATHEMATICS,89
451,stocks bonds bills i,FINANCE,89
452,giornale ec,ECONOMICS,89
453,pch5,DK,89
454,j marriage fam,SOCIOLOGY,88
455,theory unemployment,ECONOMICS,88
456,j monetary ec s,ECONOMICS,88
457,economics,ECONOMICS,88
458,am econ j-appl econ,ECONOMICS,88
459,j consum res,BUSINESS,88
460,market structure for,DK,88
461,theory finance,FINANCE,87
462,studies theory int t,ECONOMICS,87
463,preferences utility,ECONOMICS,87
464,statistical inferenc,STATISTICS,86
465,am stat,STATISTICS,86
466,j appl psychol,PSYCHOLOGY,86
467,sci am,MEDIA,86
468,survey cont ec,STATISTICAL DATA,86
469,ec record,ECONOMICS,86
470,am ec rev papers p,ECONOMICS,86
471,j appl probab,STATISTICS,85
472,yal u cowl f dis,ECONOMICS,85
473,nat bur ec,ECONOMICS,85
474,j public ec,ECONOMICS,85
475,j macroecon,ECONOMICS,85
476,int ec,ECONOMICS,85
477,econ philos,ECONOMICS,85
478,j theor biol,NATURAL SCIENCES,85
479,nw u ctr math st,STATISTICS,84
480,brownian motion stoc,MATHEMATICS,84
481,public financ,ECONOMICS,84
482,contribution theory,DK,84
483,stochastic processes,STATISTICS,83
484,trade balance paymen,ECONOMICS,83
485,theory price,ECONOMICS,83
486,j appl economet,ECONOMICS,83
487,interest and prices: foundations of a theory of monetary policy,ECONOMICS,83
488,finance ec discussio,ECONOMICS,83
489,board gov fed re,ECONOMICS,83
490,survey current busin,STATISTICAL DATA,83
491,bull,DK,83
492,19,DK,83
493,probability measure,STATISTICS,82
494,theory committees el,POLSCIENCE,82
495,financial rev,MEDIA,82
496,principles economics,ECONOMICS,82
497,j monetary ec,ECONOMICS,82
498,q rev,DK,82
499,j royal statistical,STATISTICS,81
500,psychometrika,PSYCHOLOGY,81
501,z gesamte staatswiss,POLSCIENCE,81
502,fed res board,FINANCE,81
503,studies labor market,ECONOMICS,81
504,j economic theory,ECONOMICS,81
505,j multivariate anal,MATHEMATICS,80
506,income employment pu,ECONOMICS,80
507,hdb monetary ec,ECONOMICS,80
508,foundations economic,ECONOMICS,80
509,brookings quart econ,ECONOMICS,80
510,accumulation capital,ECONOMICS,80
511,taxation income capi,DK,80
512,j math anal appl,MATHEMATICS,79
513,bank england q b,FINANCE,79
514,scandinavian j ec,ECONOMICS,79
515,purchasing power mon,ECONOMICS,79
516,post keynesian ec,ECONOMICS,79
517,in press,DK,79
518,prosperity depressio,ECONOMICS,78
519,distributed lags inv,ECONOMICS,78
520,working paper nber,ECONOMICS,77
521,rev econ statis,ECONOMICS,77
522,calculus consent,ECONOMICS,77
523,thesis u wisconsin,DK,77
524,pch7,DK,77
525,pch6,DK,77
526,pravda,MEDIA,76
527,2nd p berk s math st,MATHEMATICS,76
528,investment uncertain,FINANCE,76
529,inquiry nature cause,ECONOMICS,76
530,hdb regional urban e,ECONOMICS,76
531,expt ec,ECONOMICS,76
532,experimental economics,ECONOMICS,76
533,human capital theore,ECONOMICS,75
534,firms contracts fina,ECONOMICS,75
535,essays theory optima,ECONOMICS,75
536,ekonomisk tidskrift,ECONOMICS,75
537,econometrics price d,ECONOMICS,75
538,demand durable goods,ECONOMICS,75
539,thesis massachusetts,DK,75
540,j r stat soc,STATISTICS,74
541,soc forces,SOCIOLOGY,74
542,monetary approach ba,FINANCE,74
543,j financ serv res,FINANCE,74
544,business week,MEDIA,73
545,ann i stat math,MATHEMATICS,73
546,law contemp probl,LAW,73
547,f finance,FINANCE,73
548,hist polit econ,ECONOMICS,73
549,cambridge j econ,ECONOMICS,73
550,cens pop,DEMOGRAPHY,73
551,planning production,BUSINESS,73
552,thesis u minnesota,DK,73
553,decision org,DK,73
554,fam plann perspect,MEDIA,72
555,siam j appl math,MATHEMATICS,72
556,unpub econometrica,ECONOMICS,72
557,new engl econ rev,ECONOMICS,72
558,int economic rev,ECONOMICS,72
559,econometric soc mono,ECONOMICS,72
560,ec inequality,ECONOMICS,72
561,j roy stat soc,STATISTICS,71
562,math ann,MATHEMATICS,71
563,rev financi in press,FINANCE,71
564,j financial in press,FINANCE,71
565,unemployment structu,ECONOMICS,71
566,theory incentives pr,ECONOMICS,71
567,rand corp,ECONOMICS,71
568,j japanese int ec,ECONOMICS,71
569,empl outl,ECONOMICS,71
570,carnegie rochester c,DK,71
571,p am math soc,MATHEMATICS,70
572,int fin stat,FINANCE,70
573,nber working papers,ECONOMICS,70
574,optimal statistical,STATISTICS,69
575,intro statistical ti,STATISTICS,69
576,j exp soc psychol,PSYCHOLOGY,69
577,j real estate financ,FINANCE,69
578,voprosy ekonomiki,ECONOMICS,69
579,theory games economi,ECONOMICS,69
580,theoretical ec,ECONOMICS,69
581,program monetary sta,ECONOMICS,69
582,j pol ec,ECONOMICS,69
583,bell j ec,ECONOMICS,69
584,acad manage j,BUSINESS,69
585,studies structure am,DK,69
586,racial discriminatio,DK,69
587,lognormal distributi,STATISTICS,68
588,energy j,OTHER,68
589,unionism relative wa,ECONOMICS,68
590,trade growth balance,ECONOMICS,68
591,j econ,ECONOMICS,68
592,j ec surveys,ECONOMICS,68
593,f economic analysis,ECONOMICS,68
594,econ rev,ECONOMICS,68
595,ieee t automat contr,COMPUTER,68
596,unpub,DK,68
597,stanf u tec,DK,68
598,income maintenance l,DK,68
599,intro multivariate s,STATISTICS,67
600,cognitive psychol,PSYCHOLOGY,67
601,siam j control optim,MATHEMATICS,67
602,money theory finance,FINANCE,67
603,econometrics financi,FINANCE,67
604,world bank res obser,ECONOMICS,67
605,wage determination t,ECONOMICS,67
606,rev int econ,ECONOMICS,67
607,public investment ra,ECONOMICS,67
608,oxford economic pape,ECONOMICS,67
609,i fisc stud,ECONOMICS,67
610,antitrust b,LAW,66
611,in press games ec be,ECONOMICS,66
612,allocation ec resour,ECONOMICS,66
613,curr pop rep  p60,STATISTICAL DATA,66
614,productivity technic,BUSINESS,66
615,j accountancy,BUSINESS,66
616,thesis u michigan,DK,66
617,specification search,STATISTICS,65
618,u penn law rev,LAW,65
619,public financ quart,FINANCE,65
620,studies math ec econ,ECONOMICS,65
621,pure theory int trad,ECONOMICS,65
622,econometric anal nat,ECONOMICS,65
623,contemp account res,BUSINESS,65
624,decision processes,DK,65
625,longitudinal anal la,STATISTICS,64
626,am j psychol,PSYCHOLOGY,64
627,challenge,MEDIA,64
628,financ anal j,FINANCE,64
629,corporate takeovers,FINANCE,64
630,yal u ec growth,ECONOMICS,64
631,microeconomic anal,ECONOMICS,64
632,ec trends,ECONOMICS,64
633,ec j s,ECONOMICS,64
634,judgment uncertainty,LAW,63
635,contractual arrangem,LAW,63
636,national banking rev,FINANCE,63
637,fed res b,FINANCE,63
638,theory ec dev,ECONOMICS,63
639,occ pap,ECONOMICS,63
640,cowl fdn,ECONOMICS,63
641,aust econ pap,ECONOMICS,63
642,asymptotic theory ec,ECONOMICS,63
643,aggregation revelati,ECONOMICS,63
644,sankhya,STATISTICS,62
645,intro bayesian infer,STATISTICS,62
646,j econ bus,FINANCE,62
647,q rev econ bus,ECONOMICS,62
648,nber studies income,ECONOMICS,62
649,in press rev ec stat,ECONOMICS,62
650,in press european ec,ECONOMICS,62
651,household production,ECONOMICS,62
652,hdb labor ec b,ECONOMICS,62
653,ec anal,ECONOMICS,62
654,asymmetric informati,ECONOMICS,62
655,in press j business,BUSINESS,62
656,thesis u rochester,DK,62
657,j educ psychol,PSYCHOLOGY,61
658,u chic ctr math,MATHEMATICS,61
659,investment financing,FINANCE,61
660,capital growth,FINANCE,61
661,in press j public ec,ECONOMICS,61
662,identification probl,ECONOMICS,61
663,ec policy,ECONOMICS,61
664,pch8,DK,61
665,child dev,PSYCHOLOGY,60
666,times,MEDIA,60
667,topological spaces,MATHEMATICS,60
668,multiple time series,ECONOMICS,60
669,hdb ec finance,ECONOMICS,60
670,econometric approach,ECONOMICS,60
671,ec control,ECONOMICS,60
672,study saving us,DK,60
673,intro theory statist,STATISTICS,59
674,int stat rev,STATISTICS,59
675,social goals social,SOCIOLOGY,59
676,soc res,SOCIOLOGY,59
677,monetary history us,ECONOMICS,59
678,measuring business c,ECONOMICS,59
679,discrimination labor,ECONOMICS,59
680,bpea,ECONOMICS,59
681,strategic manage j,BUSINESS,59
682,stanf u grad sch,DK,59
683,papers relating poli,DK,59
684,annalist,DK,59
685,ration soc,SOCIOLOGY,58
686,foreign affairs,MEDIA,58
687,mathematical theory,MATHEMATICS,58
688,ann rep fed res boar,FINANCE,58
689,theory leisure class,ECONOMICS,58
690,rev ec statistic feb,ECONOMICS,58
691,measurement economic,ECONOMICS,58
692,math anal ec,ECONOMICS,58
693,int tax public finan,ECONOMICS,58
694,income distribution,ECONOMICS,58
695,e econ j,ECONOMICS,58
696,business behavior va,BUSINESS,58
697,working paper,DK,58
698,stochastic different,STATISTICS,57
699,berk s math stat,STATISTICS,57
700,theory moral sentime,PHILOSOPHY,57
701,principles corporate,FINANCE,57
702,understanding consum,ECONOMICS,57
703,revision demand theo,ECONOMICS,57
704,public finance,ECONOMICS,57
705,j transp econ policy,ECONOMICS,57
706,in press j monetary,ECONOMICS,57
707,essays theory measur,ECONOMICS,57
708,elements econometric,ECONOMICS,57
709,thesis nw u,DK,57
710,princeton studies in,DK,57
711,theor probab appl,STATISTICS,56
712,j math sociol,SOCIOLOGY,56
713,siam rev,MATHEMATICS,56
714,real anal,MATHEMATICS,56
715,pac j math,MATHEMATICS,56
716,asset pricing,FINANCE,56
717,yal u cowl fdn,ECONOMICS,56
718,world polit,ECONOMICS,56
719,theory empirical ana,ECONOMICS,56
720,lectures political e,ECONOMICS,56
721,j post keynesian ec,ECONOMICS,56
722,interregional int tr,ECONOMICS,56
723,hdb macroECONOMICSb,ECONOMICS,56
724,hdb ec growth,ECONOMICS,56
725,eur centr bank,ECONOMICS,56
726,economet j,ECONOMICS,56
727,j behav decis making,BUSINESS,56
728,corporate governance,BUSINESS,56
729,empl earn,DK,56
730,nonparametric semipa,STATISTICS,55
731,b oxford u i statist,STATISTICS,55
732,philos public aff,PHILOSOPHY,55
733,risk return finance,FINANCE,55
734,j financial quan dec,FINANCE,55
735,z nationalokon,ECONOMICS,55
736,taxes affect ec beha,ECONOMICS,55
737,rev ind organ,ECONOMICS,55
738,rev econ polit,ECONOMICS,55
739,economic record,ECONOMICS,55
740,ec consumer behavior,ECONOMICS,55
741,allocation uncertain,ECONOMICS,55
742,working paper series,DK,55
743,stoch proc appl,STATISTICS,54
744,skand aktuarietidskr,MATHEMATICS,54
745,mathematical analysi,MATHEMATICS,54
746,mich law rev,LAW,54
747,j financial quan jun,FINANCE,54
748,bank engl,FINANCE,54
749,production commoditi,ECONOMICS,54
750,phillips curve labor,ECONOMICS,54
751,oecd ec studies,ECONOMICS,54
752,j forecasting,ECONOMICS,54
753,inequalities,ECONOMICS,54
754,immigration trade la,ECONOMICS,54
755,ec studies q,ECONOMICS,54
756,j commerce,BUSINESS,54
757,harv bus sch,BUSINESS,54
758,int organ,DK,54
759,res math principles,MATHEMATICS,53
760,time series analysis,ECONOMICS,53
761,theory measurement d,ECONOMICS,53
762,soc secur bull,ECONOMICS,53
763,math ec,ECONOMICS,53
764,j regul econ,ECONOMICS,53
765,ec politics,ECONOMICS,53
766,ann insee,ECONOMICS,53
767,j human resources,BUSINESS,53
768,pch9,DK,53
769,stat sci,STATISTICS,52
770,estimation inference,STATISTICS,52
771,soc sci quart,POLSCIENCE,52
772,j policy model,POLSCIENCE,52
773,soc sci med,HEALTH,52
774,pediatrics,HEALTH,52
775,century,MEDIA,52
776,nonlinear programmin,MATHEMATICS,52
777,va law rev,LAW,52
778,theory investment va,FINANCE,52
779,risk,FINANCE,52
780,essays int finance,FINANCE,52
781,studies econometric,ECONOMICS,52
782,review economic stud,ECONOMICS,52
783,political ec explain,ECONOMICS,52
784,fiscal policy busine,ECONOMICS,52
785,ec forecasts policy,ECONOMICS,52
786,cost production func,ECONOMICS,52
787,bargaining markets,ECONOMICS,52
