UNIQUEID,YEAR,PERIOD,AUT1,AFFIL_AUT1,DPT_AUT1,AUT2,AFFIL_AUT2,DPT_AUT2,AUT3,AFFIL_AUT3,DPT_AUT3,AUT4,AFFIL_AUT4,DPT_AUT4,AUT5,AFFIL_AUT5,DPT_AUT5
637,1976,1976-1980,"callen, j",U of Manitoba,Business,"   mathewson, gf",U Toronto,Economics,"   mohring, h",U Minnesota,Economics,NA,NA,NA,NA,NA,NA
921,1978,1976-1980,"callen, jl",McMaster U,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,2007,2004-2008,"casari, marco",Purdue U,Business,"   ham, john c.",USC,Economics,"   kagel, john h.",Ohio State U,Economics,NA,NA,NA,NA,NA,NA
175,2004,2004-2008,"celen, b",Columbia,Business,"   kariv, s",UC Berkeley,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,2008,2004-2008,"chakravorty, ujjayant",U of Alberta,Business,"   moreaux, michel",U of Toulouse I ,Economics,"   tidball, mabel",INRA,Economics,NA,NA,NA,NA,NA,NA
736,1977,1976-1980,"cheit, ef",UC Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,2004,2004-2008,"chen, j",USC,Business,"   hong, h",Princeton,Business,"   huang, m",Stanford,Business,"   kubik, jd",Syracuse U,Economics,NA,NA,NA
288,2005,2004-2008,"chowdhry, b",UCLA,Business,"   roll, r",UCLA,Business,"   xia, yh",Upenn,Business,NA,NA,NA,NA,NA,NA
283,2005,2004-2008,"cochrane, jh",U Chicago,Business,"   piazzesi, m",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,2004,2004-2008,"coen-pirani, d",Carnegie Mellon U,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,1976,1976-1980,"conley, bc",USC,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,2005,2004-2008,"cooper, dj",Case Western Reserve U,Business,"   kagel, jh",Ohio State U ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
862,1978,1976-1980,"crew, ma",Rutgers U,Business,"   kleindorfer, pr",Upenn,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,2005,2004-2008,"dafny, ls",Northwestern,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,2005,2004-2008,"davidoff, t",UC Berkeley,Business,"   brown, jr",U Illinois at Urbana-Champaign,Business,"   diamond, pa",MIT,Economics,NA,NA,NA,NA,NA,NA
236,2005,2004-2008,"demarzo, pm",Stanford,Business,"   kremer, i",Stanford ,Business,"   skrzypacz, a",Stanford,Business,NA,NA,NA,NA,NA,NA
198,2004,2004-2008,"di tella, r",Harvard,Business,"   schargrodsky, e","U Torcuato Di Tella (Buenos Aires, Argentina)",Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,2006,2004-2008,"diamond, dw",U Chicago,Business,"   rajan, rg",IMF,IMF,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,2007,2004-2008,"dichev, ilia d.",U Michigan,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,2005,2004-2008,"diermeier, d",Northwestern,Business,"   keane, m",Yale,Economics,"   merlo, a",Upenn,Economics,NA,NA,NA,NA,NA,NA
262,2005,2004-2008,"dow, j",London Business School,Business,"   gorton, g",Upenn,Business,"   krishnamurthy, a",Northwestern,Business,NA,NA,NA,NA,NA,NA
400,2007,2004-2008,"doyle, joseph j., jr.",MIT,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,1976,1976-1980,"echols, me",U Wisconsin-Milwaukee,Business,"   elliott, jw",U Wisconsin-Milwaukee,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,2004,2004-2008,"engle, r",NYU,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1155,1980,1976-1980,"enthoven, ac",Stanford,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,2008,2004-2008,"esponda, ignacio",NYU,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,2007,2004-2008,"fabrizio, kira r.",Emory U,Business,"   rose, nancy l.",Mit,Economics,"   wolfram, catherine d.",UC Berkeley,Business,NA,NA,NA,NA,NA,NA
392,2006,2004-2008,"faccio, m",Vanderbilt,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,1979,1976-1980,"fama, ef",U Chicago,Business,"   farber, a",ULB,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,1976,1976-1980,"fama, ef",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
912,1978,1976-1980,"fama, ef",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,2005,2004-2008,"faure-grimaud, a",LSE,Business,"   inderst, r",INSEAD,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,2006,2004-2008,"feddersen, timothy",Northwestern,Business,"   sandroni, alvaro",Northwestern,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,2006,2004-2008,"feinberg, susan e.",Rutgers U,Business,"   keane, michael p.",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,2007,2004-2008,"ferreyra, maria marta",Carnegie Mellon U,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,2008,2004-2008,"fischer, paul",Pennsylvania State University,Business,"   huddart, steven",Pennsylvania State U,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,1977,1976-1980,"fishburn, pc",Pennsylvania State U,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,2007,2004-2008,"fisman, raymond",Columbia,Business,"   kariv, shachar",UC Berkeley,Economics,"   markovits, daniel",Yale,Law,NA,NA,NA,NA,NA,NA
639,1976,1976-1980,"flanagan, rj",Stanford,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,1979,1976-1980,"garbade, kd",NYU,Business,"   pomrenze, jl",Bankers Trust Company,Private,"   silber, wl",NYU,Business,NA,NA,NA,NA,NA,NA
176,2004,2004-2008,"garicano, l",U Chicago,Business,"   santos, t",Columbia,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,2007,2004-2008,"gentzkow, matthew",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,2005,2004-2008,"gneezy, u",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
673,1976,1976-1980,"gordon, mj",U Toronto,Business,"   halpern, pj",U Toronto,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,2004,2004-2008,"gorton, g",Upenn,Business,"   huang, lx",City U of Hong Kong,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,2004,2004-2008,"guryan, j",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,2008,2004-2008,"guryan, jonathan",U Chicago,Business,"   kearney, melissa s.",U Maryland,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,2008,2004-2008,"hafalir, isa",Carnegie Mellon U,Business,"   krishna, vijay",Pennsylvania State U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,2005,2004-2008,"harrison, gw",U of Central Florida,Business,"   johnson, e",U of South Carolina,Business,"   mcinnes, mm",U of South Carolina,Business,"   rutstrom, ee",U of Central Florida,Business,NA,NA,NA
456,2007,2004-2008,"harstad, bard",Northwestern,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,2007,2004-2008,"haruvy, ernan","U Texas, Dallas",Business,"   lahav, yaron",Emory,Economics,"   noussair, charles n.",Tilburg U,Economics,NA,NA,NA,NA,NA,NA
235,2005,2004-2008,"hatfield, jw",Stanford,Business,"   milgrom, pr",Stanford ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,1976,1976-1980,"hoggatt, ac",UC Berkeley,Business,"   friedman, jw",U of Rochester,Economics,"   gill, s",UC Berkeley,Business,NA,NA,NA,NA,NA,NA
1186,1980,1976-1980,"holland, dm",MIT,Business,"   myers, sc",MIT,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,1976,1976-1980,"holthausen, dm",Dartmouth College,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,2005,2004-2008,"hummels, d",Purdue U,Business,"   klenow, pj",Stanford ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,2005,2004-2008,"israel, m",Northwestern,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,2005,2004-2008,"ivkovic, z",U of Illinois at Urbana-Champaign,Business,"   poterba, j",Mit,Economics,"   weisbenner, s",U of Illinois at Urbana-Champaign,Business,NA,NA,NA,NA,NA,NA
365,2006,2004-2008,"johnson, jp",Cornell,Business,"   myatt, dp",Oxford,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,2008,2004-2008,"kamenica, emir",Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,1978,1976-1980,"kamien, mi",Northwestern,Business,"   schwartz, nl",Northwestern ,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
1138,1980,1976-1980,"king, ma",U of Birmingham,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,2007,2004-2008,"krishnan, harish",UBC,Business,"   winter, ralph a.",UBC,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
869,1978,1976-1980,"kunreuther, h",Upenn,Business,"   slovic, p","Decision Research, A Branch of Perceptronics",Private,NA,NA,NA,NA,NA,NA,NA,NA,NA
745,1977,1976-1980,"leland, he",UC Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,2004,2004-2008,"lerner, j",Harvard,Business,"   tirole, j",Toulouse,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,2006,2004-2008,"lerner, josh",Harvard,Business,"   tirole, jean",Toulouse,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,2004,2004-2008,"lettau, m",NYU,Business,"   ludvigson, sc",NYU,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
973,1978,1976-1980,"levi, md",UBC,Business,"   makin, jh",U of Washington,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061,1979,1976-1980,"levy, h",Hebrew University,Business,"   markowitz, hm",IBM Corporation,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA
1196,1980,1976-1980,"magee, sp","U Texas, Austin",Business,"   rao, rks","U Texas, Austin",Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,1976,1976-1980,"magee, sp",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1959,1956-1960,"margolis, j",Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,2007,2004-2008,"mcadams, david",MIT,Business,"   schwarz, michael",Yahoo! Research,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,2008,2004-2008,"morgan, john",UC Berkeley,Business,"   stocken, phillip c.",Dartmouth,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,2005,2004-2008,"morrison, ad",Oxford,Business,"   white, l",Harvard,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2004,2004-2008,"morrison, ad",Oxford,Business,"   wilhelm, wj",U Virginia ,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,2005,2004-2008,"moser, p",MIT,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103,1979,1976-1980,"nakamura, m",U of Alberta,Business,"   nakamura, a",U of Alberta,Business,"   cullen, d",U of Alberta,Business,NA,NA,NA,NA,NA,NA
517,2008,2004-2008,"nicholas, tom",Harvard,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,2008,2004-2008,"ostrovsky, michael",Stanford,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,1979,1976-1980,"ozatalay, s",Widener College,Business,"   grubaugh, s",U Chicago,Public Affairs,"   long, tv",U Chicago,Public Affairs,NA,NA,NA,NA,NA,NA
307,2006,2004-2008,"perez-gonzalez, francisco",Columbia,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,1976,1976-1980,"perrakis, s",U of Ottawa,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,1976,1976-1980,"porter, me",Harvard,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,2007,2004-2008,"prendergast, canice",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,2004,2004-2008,"romalis, j",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,2004,2004-2008,"rose, ak",UC Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,2007,2004-2008,"rose, andrew k.",UC Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062,1979,1976-1980,"ross, sa",Yale,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
758,1977,1976-1980,"rutledge, j",Claremont Men's College,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
677,1976,1976-1980,"schall, ld",U of Washington,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1159,1980,1976-1980,"stevenson, r",U Wisconsin-Madison,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,1977,1976-1980,"strober, mh",Stanford,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,2008,2004-2008,"tervio, marko",UC Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,1978,1976-1980,"thurow, lc",MIT,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,2004,2004-2008,"trefler, d",U Toronto,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,2004,2004-2008,"van den steen, e",MIT,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,2006,2004-2008,"veldkamp, ll",NYU,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228,1980,1976-1980,"verrecchia, re",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
753,1977,1976-1980,"white, lj",NYU,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,1979,1976-1980,"wilkinson, m",Columbia,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,2006,2004-2008,"wolfers, justin",Upenn,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,2005,2004-2008,"wynne, j",Duke,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1956,1956-1960,"bauer, pt",Cambridge (UK),Commonwealth Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1203,1980,1976-1980,"melody, wh",Simon Fraser U,Communication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1960,1956-1960,"walters, aa",birmingham,Econometrics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,2007,2004-2008,"acemoglu, daron",MIT,Economics,"   antras, pol",Harvard,Economics,"   helpman, elhanan",Harvard,Economics,NA,NA,NA,NA,NA,NA
547,2008,2004-2008,"acemoglu, daron",MIT,Economics,"   johnson, simon",Mit,Business,"   robinson, james a.",Harvard,Public Affairs,"   yared, pierre",Columbia,Business,NA,NA,NA
571,2008,2004-2008,"acemoglu, daron",MIT,Economics,"   robinson, james a.",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,1978,1976-1980,"ackley, g",U Michigan,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,1979,1976-1980,"adams, av",U of Utah,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,2006,2004-2008,"adda, jerome",UCL,Economics,"   cornaglia, francesca",UCL,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,1977,1976-1980,"aghevli, bb",LSE,Economics,"   khan, ms",IMF,IMF,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,2008,2004-2008,"aghion, philippe",Harvard,Economics,"   burgess, robin",LSE,Economics,"   redding, stephen j.",LSE,Economics,"   zilibotti, fabrizio",Institute for Empirical Research in Economics,Economics,NA,NA,NA
398,2007,2004-2008,"aguiar, mark",U Rochester,Economics,"   hurst, erik",U Chicago,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,2005,2004-2008,"alesina, a",Harvard,Economics,"   angeletos, gm",Mit,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,2005,2004-2008,"alesina, a",Harvard,Economics,"   angeloni, i",Other central bank,Other central bank,"   etro, f","UCSC, Milan",Economics,NA,NA,NA,NA,NA,NA
442,2007,2004-2008,"alesina, alberto",Harvard,Economics,"   fuchs-schuendeln, nicola",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,2007,2004-2008,"alesina, alberto",Harvard,Economics,"   tabellini, guido",Bocconi,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
891,1978,1976-1980,"alexis, m",Northwestern,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,1976,1976-1980,"allison, e",Harvard,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,1979,1976-1980,"anderson, ce",Rutgers U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,1979,1976-1980,"anderson, je",Boston College,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,2006,2004-2008,"anderson, sp",U Virginia ,Economics,"   renault, r",U Cergy-Pontoise,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
650,1976,1976-1980,"ando, a",Upenn,Economics,"   palash, c",Federal Reserve Bank of NY,Fed,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,2006,2004-2008,"angeletos, george-marios",MIT,Economics,"   werning, ivan",Mit,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,2006,2004-2008,"angrist, j",MIT,Economics,"   bettinger, e",Case Western Reserve U,Economics,"   kremer, m",Harvard,Economics,NA,NA,NA,NA,NA,NA
143,2004,2004-2008,"angrist, jd",MIT,Economics,"   lang, k",Boston College,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,2005,2004-2008,"antonovics, kl",UC San Diego,Economics,"   goldberger, as",U Wisconsin ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,2006,2004-2008,"anwar, s",Yale,Economics,"   fang, hm",Yale,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1215,1980,1976-1980,"aoki, m",Kyoto U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,2005,2004-2008,"aragones, e",U Autonoma de Barcelona,Economics,"   gilboa, i",Tel Aviv U ,Economics,"   postlewaite, a",Upenn,Economics,"   schmeidler, d",Tel Aviv U,Other,NA,NA,NA
543,2008,2004-2008,"arellano, cristina",U Minnesota,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,2008,2004-2008,"arunachalam, raj",U Michigan,Economics,"   shah, manisha",U of Melbourne ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,2008,2004-2008,"atkeson, andrew",UCLA,Economics,"   burstein, ariel",UCLA,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,2007,2004-2008,"atkeson, andrew",UCLA,Economics,"   kehoe, patrick j.",Federal Reserve Bank of Minneapolis ,Fed,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,2008,2004-2008,"attanasio, orazio",UCL,Economics,"   low, hamish",Cambridge ,Economics,"   sanchez-marcos, virginia",U de Cantabria,Economics,NA,NA,NA,NA,NA,NA
282,2005,2004-2008,"auerbach, aj",UC Berkeley,Economics,"   obstfeld, m",UC Berkeley,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,1979,1976-1980,"ault, de",Southern Illinois University – Edwardsville,Economics,"   rutman, gl",Southern Illinois U – Edwardsville,Economics,"   stevenson, t",St. Louis U,Economics,NA,NA,NA,NA,NA,NA
358,2006,2004-2008,"ausubel, lawrence m.",U Maryland,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,2004,2004-2008,"ausubel, lm",Cornell,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,1978,1976-1980,"azzi, c",Lawrence U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1959,1956-1960,"bachmura, ft",University of Chile,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,2006,2004-2008,"bagwell, k",Columbia,Economics,"   staiger, rw",U Wisconsin ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,1980,1976-1980,"bailey, mj",U Maryland,Economics,"   olson, m",U Maryland,Economics,"   wonnacott, p",U Maryland,Economics,NA,NA,NA,NA,NA,NA
491,2008,2004-2008,"baland, jean-marie",U of Namur (Belgium),Economics,"   robinson, james a.",Harvard,Public Affairs,NA,NA,NA,NA,NA,NA,NA,NA,NA
612,1976,1976-1980,"baldwin, re",U Wisconsin-Madison,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,1976,1976-1980,"ball, rj",London Business School,Economics,"   burns, t",London Business School,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,2005,2004-2008,"banerjee, a",MIT,Economics,"   iyer, l",Harvard,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,2008,2004-2008,"banzhaf, spencer",Georgia State U,Economics,"   walsh, randall p.","U Colorado, Boulder",Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,1979,1976-1980,"bardhan, pk",UC Berkeley,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,1977,1976-1980,"barron, jm",Purdue U,Economics,"   mccafferty, s",Ohio State U,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,2007,2004-2008,"barsky, robert b.",U Michigan,Economics,"   house, christopher l.",U Michigan,Economics,"   kimball, miles s.",U Michigan,Economics,NA,NA,NA,NA,NA,NA
303,2006,2004-2008,"basu, susanto",Boston College,Economics,"   fernald, john g.",Federal Reserve Bank of San Francisco ,Fed,"   kimball, miles s.",U Michigan,Economics,NA,NA,NA,NA,NA,NA
261,2005,2004-2008,"battaglini, m",Princeton,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,2007,2004-2008,"battaglini, marco",Princeton,Economics,"   coate, stephen",Cornell,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,2008,2004-2008,"battaglini, marco",Pennsylvania State University,Economics,"   coate, stephen",Cornell,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1958,1956-1960,"baumol, wj",Princeton,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,1977,1976-1980,"baumol, wj",ambiguous,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,2005,2004-2008,"becker, gs",U Chicago,Economics,"   philipson, tj",U Chicago,Public Affairs,"   soares, rr",U Maryland,Economics,NA,NA,NA,NA,NA,NA
