UniqueID;JOURNAL;YEAR;AUT1;AFFIL_AUT1;PHD_AUT1;AUT2;AFFIL_AUT2;PHD_AUT2;AUT3;AFFIL_AUT3;PHD_AUT3;AUT4;AFFIL_AUT4;PHD_AUT4;AUT5;AFFIL_AUT5;PHD_AUT5;AUT6;AFFIL_AUT6;PHD_AUT6;AUT7;AFFIL_AUT7;PHD_AUT7;AUT8;AFFIL_AUT8;PHD_AUT8
12;AMERICAN JOURNAL OF SOCIOLOGY;2003;pager, d;Northwestern University;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;AMERICAN JOURNAL OF SOCIOLOGY;2003;einwohner, rl;Purdue University;University of Washington;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;AMERICAN JOURNAL OF SOCIOLOGY;2003;carr, pj;Saint Josephs University;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;AMERICAN JOURNAL OF SOCIOLOGY;2003;almeida, pd;Texas A&M University;University of California, Riverside;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;AMERICAN JOURNAL OF SOCIOLOGY;2003;bechky, ba;University of California, Davis;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;AMERICAN JOURNAL OF SOCIOLOGY;2003;bothner, ms;University of Chicago;Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;AMERICAN JOURNAL OF SOCIOLOGY;2003;morenoff, jd;University of Michigan;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;AMERICAN JOURNAL OF SOCIOLOGY;2003;kelly, el;University of Minnesota;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;AMERICAN JOURNAL OF SOCIOLOGY;2003;ferree, mm;University of Wisconsin-Madison;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;AMERICAN JOURNAL OF SOCIOLOGY;2004;sayer, lc;Ohio State University;University of Michigan;bianchi, sm;University of Maryland;University of Maryland;robinson, jp;University of Maryland;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;AMERICAN JOURNAL OF SOCIOLOGY;2004;bearman, ps;Columbia University;Harvard University;moody, j;Ohio State University;University of North Carolina, Chapel Hill;stovel, k;University of Washington;University of North Carolina, Chapel Hill;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;AMERICAN JOURNAL OF SOCIOLOGY;2004;elman, c;University of Akron;University of North Carolina, Chapel Hill;orand, am;Duke University;Temple University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;AMERICAN JOURNAL OF SOCIOLOGY;2004;lively, kj;Dartmouth College;Vanderbilt University;heise, dr;Indiana University, Bloomington;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;AMERICAN JOURNAL OF SOCIOLOGY;2004;alderson, as;Indiana University, Bloomington;University of North Carolina, Chapel Hill;beckfield, j;Indiana University, Bloomington;Indiana University, Bloomington;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;AMERICAN JOURNAL OF SOCIOLOGY;2004;ingram, p;Columbia University;Cornell University;rao, h;Northwestern University;Case Western Reserve University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;AMERICAN JOURNAL OF SOCIOLOGY;2004;griswold, w;Northwestern University;Harvard University;wright, n;Northwestern University;Northwestern University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;AMERICAN JOURNAL OF SOCIOLOGY;2004;barnett, wp;Stanford University;University of California, Berkeley;woywode, m;RWTH Aachen;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;AMERICAN JOURNAL OF SOCIOLOGY;2004;koopmans, r;Vrije Universiteit Amsterdam;University of Amsterdam;olzak, s;Stanford University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;AMERICAN JOURNAL OF SOCIOLOGY;2004;firebaugh, g;Pennsylvania State University;Indiana University, Bloomington;goesling, b;University of Michigan;Pennsylvania State University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;AMERICAN JOURNAL OF SOCIOLOGY;2004;zeng, z;University of Michigan;University of Michigan;xie, y;University of Michigan;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;AMERICAN JOURNAL OF SOCIOLOGY;2004;pedriana, n;Louisiana State University;University of Iowa;stryker, r;University of Minnesota;University of Wisconsin-Madison;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;AMERICAN JOURNAL OF SOCIOLOGY;2004;dechter, ar;University of Wisconsin-Madison;University of Pennsylvania;elder, gh;University of North Carolina, Chapel Hill;University of North Carolina, Chapel Hill;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;AMERICAN JOURNAL OF SOCIOLOGY;2004;simon, rw;Florida State University;Indiana University, Bloomington;nath, le;University of Wisconsin-Whitewater;University of Iowa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;AMERICAN JOURNAL OF SOCIOLOGY;2004;petersen, t;University of California, Berkeley;University of Wisconsin-Madison;saporta, i;Tel Aviv University;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;AMERICAN JOURNAL OF SOCIOLOGY;2004;huffman, ml;University of California, Irvine;University of California, Santa Barbara;cohen, pn;University of California, Irvine;University of Maryland;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;AMERICAN JOURNAL OF SOCIOLOGY;2004;waldinger, r;University of California, Los Angeles;Harvard University;fitzgerald, d;University of California, Los Angeles;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;AMERICAN JOURNAL OF SOCIOLOGY;2004;spilerman, s;Columbia University;Johns Hopkins University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;AMERICAN JOURNAL OF SOCIOLOGY;2004;fox, c;Harvard University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;AMERICAN JOURNAL OF SOCIOLOGY;2004;sorensen, jb;Massachusetts Institute of Technology;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;AMERICAN JOURNAL OF SOCIOLOGY;2004;mcfarland, da;Stanford University;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;AMERICAN JOURNAL OF SOCIOLOGY;2004;ruef, m;Stanford University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;AMERICAN JOURNAL OF SOCIOLOGY;2004;burt, rs;University of Chicago;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;AMERICAN JOURNAL OF SOCIOLOGY;2004;villarreal, a;University of Texas, Austin;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;AMERICAN JOURNAL OF SOCIOLOGY;2004;gangl, m;Social Science Research Center Berlin (WZB);University of Mannheim;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;AMERICAN JOURNAL OF SOCIOLOGY;2004;peng, ys;Chinese University of Hong Kong;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;AMERICAN JOURNAL OF SOCIOLOGY;2005;sampson, rj;Harvard University;University of Albany;mcadam, d;Stanford University;SUNY Stony Brook;macindoe, h;University of Chicago;University of Chicago;weffer-elizondo, s;Harvard University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;AMERICAN JOURNAL OF SOCIOLOGY;2005;powell, ww;Stanford University;SUNY Stony Brook;white, dr;University of California, Irvine;University of Minnesota;koput, kw;University of Arizona, Tucson;University of California, Berkeley;owen-smith, j;University of Michigan;University of Arizona, Tucson;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;AMERICAN JOURNAL OF SOCIOLOGY;2005;eguiluz, vm;Universidad de las Islas Baleares;Universidad de las Islas Baleares;zimmermann, mg;Universidad de Buenos Aires;Uppsala University;cela-conde, cj;Universidad de las Islas Baleares;University of Barcelona;san miguel, m;Universidad de las Islas Baleares;University of Barcelona;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;AMERICAN JOURNAL OF SOCIOLOGY;2005;centola, d;Cornell University;Cornell University;willer, r;Cornell University;Cornell University;macy, m;Cornell University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;AMERICAN JOURNAL OF SOCIOLOGY;2005;ingram, p;Columbia University;Cornell University;robinson, j;New York University;Columbia University;busch, ml;Georgetown University;Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;AMERICAN JOURNAL OF SOCIOLOGY;2005;moody, j;Ohio State University;University of North Carolina, Chapel Hill;mcfarland, d;Stanford University;University of Chicago;bender-demoll, s;Stanford University;Bennington College;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;AMERICAN JOURNAL OF SOCIOLOGY;2005;tomaskovic-devey, d;University of Massachusetts, Amherst;Boston University;thomas, m;North Carolina State University;Virginia Tech;johnson, k;University at Albany, SUNY;North Carolina State University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;AMERICAN JOURNAL OF SOCIOLOGY;2005;deffuant, g;IRSTEA (Laboratoire d'Ingénierie pour les Systèmes Complexes);Ecole des Hautes Etudes en Sciences Sociales (EHESS);huet, s;IRSTEA (Laboratoire d'Ingénierie pour les Systèmes Complexes);Universite Blaise Pascal, Clermont-Ferrand;amblard, f;IRSTEA (Laboratoire d'Ingénierie pour les Systèmes Complexes);Universite Blaise Pascal, Clermont-Ferrand;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;AMERICAN JOURNAL OF SOCIOLOGY;2005;van tubergen, f;Utrecht University;Utrecht University;te grotenhuis, m;Radboud University Nijmegen;Radboud University Nijmegen;ultee, w;Radboud University Nijmegen;Utrecht University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;AMERICAN JOURNAL OF SOCIOLOGY;2005;robins, g;University of Melbourne;University of Melbourne;pattison, p;University of Melbourne;University of Melbourne;woolcock, j;University of Melbourne;University of Melbourne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;AMERICAN JOURNAL OF SOCIOLOGY;2005;chang, mh;Cleveland State University;Johns Hopkins University;harrington, je;Johns Hopkins University;Duke University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;AMERICAN JOURNAL OF SOCIOLOGY;2005;fernandez, rm;Massachusetts Institute of Technology;University of Chicago;sosa, ml;Massachusetts Institute of Technology;Massachusetts Institute of Technology;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
59;AMERICAN JOURNAL OF SOCIOLOGY;2005;uzzi, b;Northwestern University;SUNY Stony Brook;spiro, j;Stanford University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;AMERICAN JOURNAL OF SOCIOLOGY;2005;hafner-burton, em;University of Oxford;University of Wisconsin-Madison;tsutsui, k;SUNY Stony Brook;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;AMERICAN JOURNAL OF SOCIOLOGY;2005;savelsberg, jj;University of Minnesota;University of Trier;king, rd;University at Albany, SUNY;University of Minnesota;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;AMERICAN JOURNAL OF SOCIOLOGY;2005;crowder, k;Western Washington University;University of Albany;south, sj;University at Albany, SUNY;University of Texas, Austin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;AMERICAN JOURNAL OF SOCIOLOGY;2005;fowler, jh;University of California, Davis;Harvard University;smirnov, o;University of Oregon;University of Oregon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;AMERICAN JOURNAL OF SOCIOLOGY;2005;western, b;Princeton University;University of California, Los Angeles;pettit, b;University of Washington;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;AMERICAN JOURNAL OF SOCIOLOGY;2005;moss, s;Manchester Metropolitan University;The New School, New York;edmonds, b;Manchester Metropolitan University;University of Manchester;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;AMERICAN JOURNAL OF SOCIOLOGY;2005;zhou, xg;Duke University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;AMERICAN JOURNAL OF SOCIOLOGY;2005;kay, t;University of California, San Diego;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;AMERICAN JOURNAL OF SOCIOLOGY;2005;gibson, dr;Harvard University;Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;AMERICAN JOURNAL OF SOCIOLOGY;2005;straughn, jb;Purdue University;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
70;AMERICAN JOURNAL OF SOCIOLOGY;2005;rosenfeld, mj;Stanford University;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
71;AMERICAN JOURNAL OF SOCIOLOGY;2005;smith, ss;University of California, Berkeley;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;AMERICAN JOURNAL OF SOCIOLOGY;2005;smilde, d;University of Georgia;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;AMERICAN JOURNAL OF SOCIOLOGY;2005;biggs, m;University of Illinois at Urbana-Champaign;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;AMERICAN JOURNAL OF SOCIOLOGY;2005;burris, v;University of Oregon;Princeton University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
75;AMERICAN JOURNAL OF SOCIOLOGY;2005;castilla, ej;University of Pennsylvania;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;AMERICAN JOURNAL OF SOCIOLOGY;2005;martin, jl;University of Wisconsin-Madison;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;AMERICAN JOURNAL OF SOCIOLOGY;2005;loveman, m;University of Wisconsin-Madison;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;AMERICAN JOURNAL OF SOCIOLOGY;2005;cederman, le;ETH Zurich;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;AMERICAN JOURNAL OF SOCIOLOGY;2006;ghimire, dj;University of Michigan;University of Michigan;axinn, wg;University of Michigan;University of Michigan;yabiku, st;Arizona State University;University of Michigan;thornton, a;University of Michigan;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
80;AMERICAN JOURNAL OF SOCIOLOGY;2006;greve, henrich r.;Norwegian School of Management;Stanford University;pozner, jo-ellen;Northwestern University;Northwestern University;rao, hayagreeva;Stanford University;Case Western Reserve University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
81;AMERICAN JOURNAL OF SOCIOLOGY;2006;jenkins, jc;Ohio State University;SUNY Stony Brook;leicht, kt;University of Iowa;Indiana University, Bloomington;wendt, h;U.S. Bureau of the Census;North Carolina State University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;AMERICAN JOURNAL OF SOCIOLOGY;2006;erikson, emily;University of Massachusetts, Amherst;Columbia University;bearman, peter;Columbia University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
83;AMERICAN JOURNAL OF SOCIOLOGY;2006;mouw, ted;University of North Carolina, Chapel Hill;University of Michigan;entwisle, barbara;University of North Carolina, Chapel Hill;Brown University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
84;AMERICAN JOURNAL OF SOCIOLOGY;2006;berger, j;Stanford University;Harvard University;fisek, mh;Bogazici University;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
85;AMERICAN JOURNAL OF SOCIOLOGY;2006;stark, d;Columbia University;Harvard University;vedres, b;Central European University (CEU);Columbia University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;AMERICAN JOURNAL OF SOCIOLOGY;2006;mandel, hadas;Tel Aviv University;Tel Aviv University;semyonov, moshe;Tel Aviv University;SUNY Stony Brook;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;AMERICAN JOURNAL OF SOCIOLOGY;2006;stuart, toby e.;Columbia University;Stanford University;ding, waverly w.;University of California, Berkeley;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
88;AMERICAN JOURNAL OF SOCIOLOGY;2006;bruch, elizabeth e.;University of Michigan;University of California, Los Angeles;mare, robert d.;University of California, Los Angeles;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
89;AMERICAN JOURNAL OF SOCIOLOGY;2006;stovel, k;University of Washington;University of North Carolina, Chapel Hill;savage, m;University of Manchester;Lancaster University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;AMERICAN JOURNAL OF SOCIOLOGY;2006;menjivar, c;Arizona State University;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;AMERICAN JOURNAL OF SOCIOLOGY;2006;vaughan, diane;Columbia University;Ohio State University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;AMERICAN JOURNAL OF SOCIOLOGY;2006;vallas, steven peter;George Mason University;Rutgers University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;AMERICAN JOURNAL OF SOCIOLOGY;2006;pedriana, nicholas;Louisiana State University;University of Iowa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;AMERICAN JOURNAL OF SOCIOLOGY;2006;sullins, d. paul;Catholic University of America;Catholic University of America;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;AMERICAN JOURNAL OF SOCIOLOGY;2006;walder, andrew g.;Stanford University;University of Michigan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96;AMERICAN JOURNAL OF SOCIOLOGY;2006;viterna, jocelyn s.;Tulane University;Indiana University, Bloomington;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;AMERICAN JOURNAL OF SOCIOLOGY;2006;fourcade, marion;University of California, Berkeley;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
98;AMERICAN JOURNAL OF SOCIOLOGY;2006;downey, liam;University of Colorado, Boulder;University of Arizona;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
99;AMERICAN JOURNAL OF SOCIOLOGY;2006;gerber, theodore p.;University of Wisconsin-Madison;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;AMERICAN JOURNAL OF SOCIOLOGY;2006;gifford, brian;RAND corporation;New York University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
101;AMERICAN JOURNAL OF SOCIOLOGY;2006;cooke, lynn prince;University of Queensland;University of Oxford;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;AMERICAN JOURNAL OF SOCIOLOGY;2007;molm, linda d.;University of Arizona;University of North Carolina, Chapel Hill;collett, jessica l.;University of Notre-Dame;University of Arizona;schaefer, david r.;Arizona State University;University of Arizona;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;AMERICAN JOURNAL OF SOCIOLOGY;2007;correll, shelley j.;Cornell University;Stanford University;benard, stephen;Cornell University;Cornell University;paik, in;Cornell University;Cornell University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;AMERICAN JOURNAL OF SOCIOLOGY;2007;willson, andrea e.;University of Western Ontario;Florida State University;shuey, kim m.;University of Western Ontario;Florida State University;elder, glen h., jr.;University of North Carolina, Chapel Hill;University of North Carolina, Chapel Hill;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
